latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.34159,81.73363,332.62,0.55,0.51,2026-09-11,726,N21,VIIRS,l,2.0NRT,303.86,5.02,D
7.36861,81.83842,333.38,0.54,0.51,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.47,2.84,D
7.4696,81.26337,341.38,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,303.06,9.11,D
7.46992,81.26645,341.78,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,303.26,9.36,D
7.50373,81.0055,343.1,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.16,20.32,D
7.58117,81.05603,346.56,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,304.26,7.49,D
7.58505,81.0498,333.23,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.7,7.49,D
7.58989,81.04897,342.75,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,305.96,12.93,D
7.59083,81.05435,341.08,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.6,12.93,D
7.59472,81.04814,330.11,0.6,0.53,2026-09-11,726,N21,VIIRS,l,2.0NRT,302.78,12.93,D
7.59566,81.05355,341.84,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,303.1,12.93,D
7.60043,81.70636,333.79,0.54,0.51,2026-09-11,726,N21,VIIRS,l,2.0NRT,305.02,4.0,D
7.63271,81.00848,342.55,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.98,17.66,D
7.70216,81.24224,355.84,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,306.47,21.8,D
7.70227,81.2403,343.05,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,306.83,24.75,D
7.70587,81.54907,335.39,0.56,0.51,2026-09-11,726,N21,VIIRS,l,2.0NRT,306.63,5.25,D
7.72287,80.65866,331.59,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.39,2.6,D
7.75616,81.04324,333.1,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.6,3.9,D
7.75739,81.04642,333.01,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.07,3.09,D
7.76149,80.46893,331.17,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,295.3,5.2,D
7.76352,80.10153,330.15,0.35,0.57,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.6,2.2,D
7.76651,80.46803,339.65,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,295.01,2.93,D
7.78214,80.61802,340.18,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.24,8.07,D
7.86162,80.01357,335.91,0.35,0.57,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.65,6.27,D
7.86603,80.21651,336.47,0.34,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.01,1.27,D
7.89261,80.00832,336.03,0.35,0.57,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.45,13.53,D
7.89316,80.01147,367.0,0.35,0.57,2026-09-11,726,N21,VIIRS,h,2.0NRT,297.45,13.53,D
7.9272,81.20104,343.9,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.25,9.78,D
7.95415,80.10401,335.43,0.35,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.02,6.79,D
7.95961,81.19024,332.3,0.58,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,302.9,4.8,D
7.96052,81.19545,331.99,0.58,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,302.71,4.8,D
7.96143,81.2007,332.0,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.14,2.71,D
7.96473,80.04477,334.68,0.35,0.57,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.53,3.02,D
7.96528,81.19466,330.75,0.58,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,302.72,4.8,D
7.96914,81.18865,333.18,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,302.27,5.15,D
7.9765,80.17004,355.35,0.34,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.15,6.16,D
8.00678,80.95213,332.53,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.26,4.32,D
8.02262,81.30133,331.31,0.57,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,304.88,4.39,D
8.02483,81.304,330.92,0.57,0.52,2026-09-11,726,N21,VIIRS,l,2.0NRT,303.01,6.72,D
8.02955,80.58305,334.53,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.79,12.23,D
8.03451,80.58224,367.0,0.32,0.55,2026-09-11,726,N21,VIIRS,h,2.0NRT,296.9,12.23,D
8.14744,81.34031,336.64,0.56,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,301.9,12.16,D
8.14977,81.34171,331.74,0.56,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.83,8.72,D
8.22174,81.02438,339.9,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.38,7.89,D
8.22999,80.67237,341.78,0.63,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.99,9.52,D
8.23185,80.67056,339.54,0.63,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.65,9.01,D
8.24239,80.55995,351.1,0.32,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.94,9.17,D
8.31679,80.25421,332.65,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.22,6.52,D
8.31783,80.31797,338.65,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.06,3.64,D
8.3213,80.2504,332.07,0.33,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.22,4.77,D
8.32473,81.02138,341.73,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.65,8.15,D
8.32823,80.23088,342.45,0.33,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.58,5.46,D
8.32876,80.23387,339.45,0.33,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.96,7.23,D
8.36492,80.20286,331.59,0.34,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.97,2.81,D
8.38192,80.41776,331.62,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.05,3.18,D
8.38243,80.42065,338.16,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.58,3.18,D
8.40434,80.71754,340.95,0.62,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.13,8.35,D
8.41959,80.30999,332.9,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.22,3.31,D
8.42012,80.31292,330.4,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.46,4.12,D
8.42402,80.53297,331.06,0.63,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.26,8.83,D
8.46777,81.13238,340.6,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.76,8.26,D
8.48778,80.46198,343.36,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.3,5.09,D
8.49171,80.13688,330.79,0.34,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.41,4.54,D
8.4992,80.86546,341.78,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.15,12.46,D
8.50053,80.86825,342.17,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,300.3,13.46,D
8.50601,80.53648,339.22,0.63,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.75,10.21,D
8.50888,80.17417,354.53,0.33,0.56,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.06,10.01,D
8.55598,80.87775,335.73,0.6,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.47,5.35,D
8.57436,80.76235,336.16,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.61,7.34,D
8.57594,80.76398,336.03,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.82,7.74,D
8.59022,80.93218,339.24,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.28,10.06,D
8.59064,80.60149,333.61,0.62,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.02,7.12,D
8.60761,80.38096,333.57,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.15,2.75,D
8.61894,80.47482,341.77,0.64,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.36,11.07,D
8.64861,80.37698,332.81,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.87,2.77,D
8.65176,81.00031,335.77,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.78,5.52,D
8.71072,80.17675,342.12,0.33,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.06,3.48,D
8.73159,80.35374,332.03,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.72,2.52,D
8.73255,80.35361,331.42,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.56,2.9,D
8.82634,80.8719,330.43,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,299.54,8.93,D
8.83713,80.99182,342.96,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.02,6.93,D
8.83843,80.99353,342.38,0.58,0.52,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.58,9.53,D
8.86342,80.68942,337.74,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.15,6.84,D
8.87713,80.65346,343.41,0.61,0.54,2026-09-11,726,N21,VIIRS,n,2.0NRT,298.55,27.45,D
8.87997,80.6513,335.16,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,297.07,11.41,D
8.88096,80.65672,341.19,0.61,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,296.22,13.05,D
8.94751,80.86004,330.31,0.59,0.53,2026-09-11,726,N21,VIIRS,n,2.0NRT,294.58,7.29,D
9.11983,80.27057,340.54,0.32,0.55,2026-09-11,726,N21,VIIRS,n,2.0NRT,292.24,2.86,D
27.76085,96.31447,367.0,0.5,0.66,2026-09-11,729,N21,VIIRS,h,2.0NRT,291.15,12.89,D
27.76173,96.05025,367.0,0.49,0.65,2026-09-11,729,N21,VIIRS,h,2.0NRT,291.32,30.46,D
27.99545,94.19669,367.0,0.37,0.58,2026-09-11,729,N21,VIIRS,h,2.0NRT,293.37,7.15,D
27.99705,94.19421,334.8,0.37,0.58,2026-09-11,729,N21,VIIRS,n,2.0NRT,292.46,4.76,D
27.99753,94.20003,331.57,0.37,0.58,2026-09-11,729,N21,VIIRS,n,2.0NRT,292.63,5.08,D
21.09986,72.63593,367.0,0.6,0.71,2026-09-11,731,N21,VIIRS,h,2.0NRT,292.5,16.4,D
21.10254,72.64712,332.28,0.6,0.71,2026-09-11,731,N21,VIIRS,n,2.0NRT,291.89,16.69,D
22.35861,82.30355,339.08,0.45,0.39,2026-09-11,731,N21,VIIRS,n,2.0NRT,297.05,8.07,D
22.57294,85.89919,333.56,0.39,0.36,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.02,6.26,D
22.57568,85.89491,327.48,0.39,0.36,2026-09-11,731,N21,VIIRS,n,2.0NRT,289.86,2.21,D
23.69744,86.0788,332.04,0.39,0.36,2026-09-11,731,N21,VIIRS,n,2.0NRT,292.01,3.98,D
27.50222,69.06162,348.59,0.71,0.75,2026-09-11,731,N21,VIIRS,n,2.0NRT,304.93,11.92,D
27.50323,69.05852,336.53,0.71,0.75,2026-09-11,731,N21,VIIRS,n,2.0NRT,303.79,15.12,D
27.75157,74.47194,343.81,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,303.68,3.31,D
27.75231,74.47518,336.59,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,302.78,5.24,D
27.75248,74.47375,350.83,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,304.33,6.72,D
27.75653,74.47059,337.62,0.33,0.55,2026-09-11,731,N21,VIIRS,n,2.0NRT,304.01,3.31,D
30.62286,73.82132,336.28,0.63,0.54,2026-09-11,731,N21,VIIRS,n,2.0NRT,299.96,9.0,D
30.85914,74.36917,347.79,0.57,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,301.96,21.78,D
30.98748,74.20461,340.2,0.58,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,300.65,9.25,D
30.98889,74.20782,339.84,0.58,0.52,2026-09-11,731,N21,VIIRS,n,2.0NRT,300.87,14.78,D
31.1145,74.67035,339.39,0.54,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.55,6.49,D
31.11475,74.66734,339.31,0.55,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.98,4.29,D
31.32291,74.4838,342.04,0.55,0.51,2026-09-11,731,N21,VIIRS,n,2.0NRT,299.68,7.71,D
31.39054,75.07154,331.47,0.51,0.49,2026-09-11,731,N21,VIIRS,n,2.0NRT,298.9,4.44,D
31.61656,76.17597,335.25,0.44,0.46,2026-09-11,731,N21,VIIRS,n,2.0NRT,295.54,4.46,D
31.61751,76.18054,331.97,0.44,0.46,2026-09-11,731,N21,VIIRS,n,2.0NRT,296.42,5.4,D
34.15691,74.18864,340.37,0.5,0.49,2026-09-11,731,N21,VIIRS,n,2.0NRT,301.25,5.54,D
36.96885,81.35052,345.07,0.38,0.36,2026-09-11,733,N21,VIIRS,n,2.0NRT,308.57,6.01,D
21.10432,72.6347,328.58,0.55,0.68,2026-09-11,909,N21,VIIRS,n,2.0NRT,289.42,9.4,D
21.1052,72.64534,331.35,0.56,0.68,2026-09-11,909,N21,VIIRS,n,2.0NRT,290.15,9.33,D
22.93165,69.69714,335.59,0.37,0.58,2026-09-11,909,N21,VIIRS,n,2.0NRT,300.53,4.55,D
23.40523,71.8103,332.64,0.52,0.67,2026-09-11,909,N21,VIIRS,n,2.0NRT,292.92,7.8,D
24.35433,69.38046,331.47,0.37,0.58,2026-09-11,909,N21,VIIRS,n,2.0NRT,300.44,1.42,D
25.87052,68.93066,343.6,0.36,0.57,2026-09-11,911,N21,VIIRS,n,2.0NRT,304.43,4.91,D
25.87083,68.93423,346.81,0.36,0.57,2026-09-11,911,N21,VIIRS,n,2.0NRT,304.52,4.91,D
25.92188,69.27729,331.42,0.38,0.59,2026-09-11,911,N21,VIIRS,l,2.0NRT,304.37,3.36,D
27.50557,69.06078,353.18,0.38,0.59,2026-09-11,911,N21,VIIRS,n,2.0NRT,311.81,8.64,D
27.63493,68.38425,352.41,0.35,0.57,2026-09-11,911,N21,VIIRS,n,2.0NRT,310.04,10.44,D
27.63523,68.38776,367.0,0.35,0.57,2026-09-11,911,N21,VIIRS,h,2.0NRT,310.55,9.84,D
28.05424,69.36775,336.04,0.4,0.6,2026-09-11,911,N21,VIIRS,l,2.0NRT,306.89,7.06,D
25.54349,91.23439,297.52,0.55,0.42,2026-09-11,1955,N21,VIIRS,n,2.0NRT,283.72,0.92,N
29.12307,75.77782,304.05,0.44,0.62,2026-09-11,1955,N21,VIIRS,n,2.0NRT,288.09,1.31,N
19.02263,72.88951,304.46,0.52,0.67,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.33,1.35,N
20.95472,85.0117,305.7,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.47,1.51,N
20.99696,86.01632,307.58,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,271.22,0.89,N
20.99756,86.01261,307.32,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,271.25,1.12,N
21.07221,85.04323,305.32,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.3,1.01,N
21.07493,85.04748,302.27,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.44,0.74,N
21.0755,85.04382,305.95,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,282.16,1.32,N
21.07664,85.03648,309.74,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,286.75,1.57,N
21.07936,85.04073,306.61,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.37,1.32,N
21.0805,85.0334,310.31,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,286.59,1.57,N
21.10294,72.64367,335.0,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,279.99,5.81,N
21.10339,72.63818,302.27,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,279.23,3.16,N
21.10385,72.63268,302.78,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,279.84,3.16,N
21.10931,72.64422,302.54,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.23,5.81,N
21.16521,72.6657,336.35,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.14,8.02,N
21.16739,72.67079,304.39,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.95,5.82,N
21.16783,72.66529,338.24,0.57,0.69,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.21,8.96,N
21.76534,85.58006,305.93,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,289.01,0.96,N
21.87683,83.55544,308.71,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.96,1.66,N
21.87796,83.54762,304.22,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,286.92,0.88,N
22.20574,84.86871,320.35,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.65,2.16,N
22.20687,84.86127,306.37,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,289.07,0.97,N
22.21017,84.86185,307.55,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,289.2,0.97,N
22.21299,84.84327,314.26,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,285.79,0.98,N
22.24044,87.3886,314.37,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,285.48,1.16,N
22.35592,87.28951,302.91,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,282.92,1.54,N
22.36406,87.30318,311.16,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.17,2.24,N
22.36472,87.29928,324.69,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.86,2.24,N
22.36809,87.29993,304.77,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,283.04,1.36,N
22.37475,87.28107,301.4,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.29,0.83,N
22.3754,87.27717,308.31,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.38,0.83,N
22.37811,87.28172,317.49,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.41,2.33,N
22.37877,87.27782,322.13,0.41,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.84,2.33,N
22.57284,85.89931,305.63,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,285.67,1.62,N
22.57343,85.8956,320.43,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.11,1.62,N
22.57401,85.8919,309.25,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,286.14,1.34,N
22.60839,85.91376,315.08,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.89,2.18,N
23.48114,87.36388,300.63,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,276.79,0.71,N
23.48179,87.35999,307.59,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,278.41,1.54,N
23.48449,87.36453,300.17,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,276.86,1.42,N
23.54914,87.24515,301.77,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.25,0.92,N
23.55709,87.23873,307.57,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.24,0.97,N
23.5598,87.24324,304.7,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.54,0.94,N
23.56043,87.23938,315.45,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.54,1.58,N
23.56173,87.08474,310.35,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,283.76,1.68,N
23.66225,87.15884,302.59,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,276.46,0.85,N
23.66289,87.155,314.51,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,275.36,2.3,N
23.66392,86.91837,301.29,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.27,0.94,N
23.66558,87.15948,305.32,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,276.4,0.85,N
23.67711,86.39232,298.21,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.69,0.97,N
23.68916,87.12046,303.64,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.64,0.85,N
23.69186,87.12494,302.73,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,279.05,1.16,N
23.69248,87.1211,305.1,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.16,0.85,N
23.69311,87.11726,303.4,0.4,0.37,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.33,0.85,N
23.69636,85.28938,299.63,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,281.59,0.96,N
23.70923,85.42641,301.3,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.58,0.56,N
23.70947,86.44797,315.12,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,285.71,1.58,N
23.71216,86.45234,317.83,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,284.88,1.58,N
23.71276,86.44859,310.25,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,285.26,1.58,N
23.71368,86.42171,308.73,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.01,1.0,N
23.71697,86.42233,310.16,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.63,1.0,N
23.71726,86.4417,311.89,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.04,2.08,N
23.72445,86.4392,310.37,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,286.94,1.47,N
23.7247,86.50117,301.85,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,280.65,0.45,N
23.73554,86.43355,321.97,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.15,1.84,N
23.73614,86.4298,312.63,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.34,1.84,N
23.73884,86.43418,327.36,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.32,3.09,N
23.75172,86.41727,316.26,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.47,2.61,N
23.75472,86.39852,304.43,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.79,1.25,N
23.75741,86.40289,318.42,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.06,1.93,N
23.76071,86.4035,320.94,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.7,1.93,N
23.76131,86.39976,312.3,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.4,2.69,N
23.7634,86.40787,313.48,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.57,2.71,N
23.764,86.40412,337.11,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.8,2.71,N
23.7646,86.40038,307.69,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.48,1.45,N
23.7658,86.39287,310.35,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,289.44,1.9,N
23.7673,86.40474,321.37,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.21,2.71,N
23.76789,86.401,311.15,0.39,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,288.04,1.45,N
23.77195,86.20503,303.16,0.38,0.36,2026-09-11,1957,N21,VIIRS,n,2.0NRT,287.12,0.61,N
